time,tavg
2022-11-01,15.4
2022-11-02,14.4
2022-11-03,11.8
2022-11-04,13.4
2022-11-05,17.5
2022-11-06,19.1
2022-11-07,18.6
2022-11-08,9.8
2022-11-09,7.1
2022-11-10,11.4
2022-11-11,15.9
2022-11-12,18.0
2022-11-13,9.9
2022-11-14,4.7
2022-11-15,4.9
2022-11-16,7.6
2022-11-17,3.7
2022-11-18,2.8
2022-11-19,1.4
2022-11-20,0.2
2022-11-21,0.3
2022-11-22,4.3
2022-11-23,5.4
2022-11-24,5.5
2022-11-25,7.3
2022-11-26,6.8
2022-11-27,9.2
2022-11-28,8.9
2022-11-29,3.4
2022-11-30,8.6
2022-12-01,2.4
2022-12-02,1.7
2022-12-03,9.8
2022-12-04,3.5
2022-12-05,2.3
2022-12-06,8.8
2022-12-07,12.1
2022-12-08,8.1
2022-12-09,2.8
2022-12-10,1.4
2022-12-11,3.1
2022-12-12,0.7
2022-12-13,-1.4
2022-12-14,-0.0
2022-12-15,2.2
2022-12-16,5.0
2022-12-17,3.1
2022-12-18,0.2
2022-12-19,-0.3
2022-12-20,-0.6
2022-12-21,-0.9
2022-12-22,3.7
2022-12-23,2.0
2022-12-24,-10.5
2022-12-25,-6.1
2022-12-26,-4.6
2022-12-27,-2.0
2022-12-28,0.6
2022-12-29,2.2
2022-12-30,5.2
2022-12-31,8.3
2023-01-01,7.7
2023-01-02,7.1
2023-01-03,9.8
2023-01-04,12.6
2023-01-05,10.5
2023-01-06,5.5
2023-01-07,3.0
2023-01-08,0.4
2023-01-09,2.8
2023-01-10,2.3
2023-01-11,0.5
2023-01-12,6.0
2023-01-13,8.3
2023-01-14,0.7
2023-01-15,0.3
2023-01-16,1.0
2023-01-17,2.1
2023-01-18,6.0
2023-01-19,3.9
2023-01-20,5.3
2023-01-21,2.1
2023-01-22,1.8
2023-01-23,2.4
2023-01-24,1.5
2023-01-25,2.7
2023-01-26,6.4
2023-01-27,1.4
2023-01-28,5.2
2023-01-29,7.8
2023-01-30,7.9
2023-01-31,3.4
2023-02-01,0.9
2023-02-02,1.5
2023-02-03,-3.7
2023-02-04,-8.3
2023-02-05,3.3
2023-02-06,6.1
2023-02-07,2.7
2023-02-08,7.4
2023-02-09,7.5
2023-02-10,12.2
2023-02-11,5.5
2023-02-12,4.8
2023-02-13,8.7
2023-02-14,8.5
2023-02-15,12.0
2023-02-16,12.9
2023-02-17,9.1
2023-02-18,2.3
2023-02-19,5.3
2023-02-20,10.0
2023-02-21,5.6
2023-02-22,4.3
2023-02-23,4.4
2023-02-24,4.4
2023-02-25,-1.8
2023-02-26,3.5
2023-02-27,3.3
2023-02-28,1.9
2023-03-01,4.4
2023-03-02,6.6
2023-03-03,4.8
2023-03-04,5.5
2023-03-05,7.1
2023-03-06,7.9
2023-03-07,4.4
2023-03-08,4.0
2023-03-09,5.6
2023-03-10,4.9
2023-03-11,4.4
2023-03-12,4.3
2023-03-13,4.5
2023-03-14,1.7
2023-03-15,2.5
2023-03-16,4.9
2023-03-17,8.2
2023-03-18,8.9
2023-03-19,2.5
2023-03-20,4.8
2023-03-21,9.7
2023-03-22,9.8
2023-03-23,10.9
2023-03-24,9.2
2023-03-25,6.2
2023-03-26,10.9
2023-03-27,9.7
2023-03-28,8.1
2023-03-29,7.6
2023-03-30,4.7
2023-03-31,7.5
2023-04-01,14.6
2023-04-02,8.5
2023-04-03,9.0
2023-04-04,14.5
2023-04-05,10.1
2023-04-06,15.6
2023-04-07,11.4
2023-04-08,6.4
2023-04-09,7.5
2023-04-10,10.6
2023-04-11,15.6
2023-04-12,20.9
2023-04-13,21.1
2023-04-14,20.9
2023-04-15,16.1
